Time: 8.98, Latitude: 47.397746055, Longitude 8.545594582, Altitude 492.03
Time: 9.09, Latitude: 47.397746384, Longitude 8.545595257, Altitude 492.73
Time: 9.18, Latitude: 47.397744106, Longitude 8.545593659, Altitude 492.14
Time: 9.28, Latitude: 47.397742724, Longitude 8.545596459, Altitude 491.85
Time: 9.38, Latitude: 47.397746196, Longitude 8.545593375, Altitude 492.07
Time: 9.48, Latitude: 47.397746196, Longitude 8.545593375, Altitude 492.07
Time: 9.58, Latitude: 47.397743669, Longitude 8.545597579, Altitude 491.56
Time: 9.68, Latitude: 47.397745934, Longitude 8.545591932, Altitude 491.96
Time: 9.78, Latitude: 47.397744797, Longitude 8.545596074, Altitude 492.41
Time: 9.88, Latitude: 47.397744797, Longitude 8.545596074, Altitude 492.41
Time: 9.98, Latitude: 47.397745991, Longitude 8.54559497, Altitude 492.59
Time: 10.08, Latitude: 47.397746169, Longitude 8.54559418, Altitude 492.14
Time: 10.18, Latitude: 47.3977432, Longitude 8.545596938, Altitude 493.2
Time: 10.28, Latitude: 47.397744285, Longitude 8.545596981, Altitude 492.52
Time: 10.38, Latitude: 47.397744285, Longitude 8.545596981, Altitude 492.52
Time: 10.48, Latitude: 47.397743999, Longitude 8.54559539, Altitude 493.57
Time: 10.58, Latitude: 47.397746034, Longitude 8.545593005, Altitude 492.87
Time: 10.68, Latitude: 47.397744402, Longitude 8.545596232, Altitude 492.78
Time: 10.78, Latitude: 47.397745101, Longitude 8.545595374, Altitude 491.31
Time: 10.88, Latitude: 47.397745101, Longitude 8.545595374, Altitude 491.31
Time: 10.98, Latitude: 47.397747888, Longitude 8.545596032, Altitude 492.69
Time: 11.08, Latitude: 47.397746496, Longitude 8.545595778, Altitude 492.67
Time: 11.18, Latitude: 47.397746827, Longitude 8.545597012, Altitude 492.9
Time: 11.28, Latitude: 47.397746827, Longitude 8.545597012, Altitude 492.9
Time: 11.38, Latitude: 47.397745034, Longitude 8.545594003, Altitude 491.79
Time: 11.48, Latitude: 47.397743104, Longitude 8.545597442, Altitude 492.04
Time: 11.58, Latitude: 47.397742159, Longitude 8.545598302, Altitude 493.62
Time: 11.68, Latitude: 47.397744511, Longitude 8.545595809, Altitude 492.82
Time: 11.78, Latitude: 47.397744511, Longitude 8.545595809, Altitude 492.82
Time: 11.88, Latitude: 47.397746545, Longitude 8.545595692, Altitude 491.8
Time: 11.98, Latitude: 47.397744183, Longitude 8.545595578, Altitude 491.86
Time: 12.08, Latitude: 47.397744239, Longitude 8.545594059, Altitude 493.14
Time: 12.18, Latitude: 47.397744239, Longitude 8.545594059, Altitude 493.14
Time: 12.28, Latitude: 47.397743854, Longitude 8.545595992, Altitude 492.23
Time: 12.38, Latitude: 47.397746628, Longitude 8.545595759, Altitude 492.88
Time: 12.48, Latitude: 47.39774588, Longitude 8.545593822, Altitude 491.8
Time: 12.58, Latitude: 47.397743271, Longitude 8.545595449, Altitude 492.51
Time: 12.68, Latitude: 47.397743271, Longitude 8.545595449, Altitude 492.51
Time: 12.78, Latitude: 47.397739472, Longitude 8.545595613, Altitude 492.08
Time: 12.88, Latitude: 47.397745821, Longitude 8.545596452, Altitude 492.53
Time: 12.98, Latitude: 47.397743478, Longitude 8.545596466, Altitude 492.06
Time: 13.08, Latitude: 47.397743478, Longitude 8.545596466, Altitude 492.06
Time: 13.18, Latitude: 47.397745418, Longitude 8.54559042, Altitude 492.43
Time: 13.28, Latitude: 47.397746712, Longitude 8.545595512, Altitude 493.04
Time: 13.38, Latitude: 47.397744075, Longitude 8.545592322, Altitude 492.56
Time: 13.48, Latitude: 47.397746171, Longitude 8.545594247, Altitude 493.04
Time: 13.58, Latitude: 47.397746171, Longitude 8.545594247, Altitude 493.04
Time: 13.68, Latitude: 47.397740695, Longitude 8.545596669, Altitude 493.01
Time: 13.78, Latitude: 47.397745283, Longitude 8.545593449, Altitude 492.9
Time: 13.88, Latitude: 47.397741139, Longitude 8.545593316, Altitude 492.17
Time: 13.98, Latitude: 47.397743497, Longitude 8.545595443, Altitude 492.86
Time: 14.08, Latitude: 47.397743497, Longitude 8.545595443, Altitude 492.86
Time: 14.18, Latitude: 47.397743597, Longitude 8.545591251, Altitude 493.13
Time: 14.28, Latitude: 47.397745262, Longitude 8.54559631, Altitude 493.22
Time: 14.43, Latitude: 47.397741699, Longitude 8.545595844, Altitude 493.01
Time: 14.48, Latitude: 47.397741699, Longitude 8.545595844, Altitude 493.01
Time: 14.58, Latitude: 47.397748138, Longitude 8.545595723, Altitude 492.87
Time: 14.68, Latitude: 47.397747591, Longitude 8.54559482, Altitude 493.41
Time: 14.78, Latitude: 47.397747322, Longitude 8.545596992, Altitude 493.63
Time: 14.88, Latitude: 47.397746964, Longitude 8.545592905, Altitude 492.64
Time: 14.98, Latitude: 47.397746964, Longitude 8.545592905, Altitude 492.64
Time: 15.08, Latitude: 47.397751836, Longitude 8.545596052, Altitude 492.8
Time: 15.18, Latitude: 47.397756678, Longitude 8.545594992, Altitude 493.07
Time: 15.28, Latitude: 47.397759021, Longitude 8.545598545, Altitude 493.69
Time: 15.38, Latitude: 47.397759021, Longitude 8.545598545, Altitude 493.69
Time: 15.48, Latitude: 47.397760753, Longitude 8.545597356, Altitude 492.84
Time: 15.58, Latitude: 47.397765309, Longitude 8.545599987, Altitude 493.4
Time: 15.68, Latitude: 47.397767028, Longitude 8.545602144, Altitude 492.2
Time: 15.78, Latitude: 47.397767028, Longitude 8.545602144, Altitude 492.2
Time: 15.88, Latitude: 47.397767695, Longitude 8.545604336, Altitude 492.56
Time: 15.98, Latitude: 47.397770673, Longitude 8.545610208, Altitude 493.27
Time: 16.08, Latitude: 47.397767947, Longitude 8.545610853, Altitude 492.99
Time: 16.18, Latitude: 47.397767947, Longitude 8.545610853, Altitude 492.99
Time: 16.28, Latitude: 47.397777055, Longitude 8.545616765, Altitude 492.89
Time: 16.39, Latitude: 47.397774125, Longitude 8.545621917, Altitude 492.76
Time: 16.48, Latitude: 47.397773682, Longitude 8.545628959, Altitude 493.31
Time: 16.58, Latitude: 47.397773284, Longitude 8.545632857, Altitude 493.97
Time: 16.68, Latitude: 47.397773284, Longitude 8.545632857, Altitude 493.97
Time: 16.78, Latitude: 47.397768918, Longitude 8.545635069, Altitude 493.03
Time: 16.88, Latitude: 47.397768872, Longitude 8.545638559, Altitude 493.06
Time: 16.98, Latitude: 47.397765172, Longitude 8.545644468, Altitude 492.92
Time: 17.08, Latitude: 47.397757903, Longitude 8.545645656, Altitude 492.3
Time: 17.18, Latitude: 47.397757903, Longitude 8.545645656, Altitude 492.3
Time: 17.28, Latitude: 47.397758597, Longitude 8.545649005, Altitude 492.49
Time: 17.38, Latitude: 47.39775228, Longitude 8.545654704, Altitude 492.88
Time: 17.48, Latitude: 47.397747745, Longitude 8.545653372, Altitude 492.66
Time: 17.58, Latitude: 47.397747745, Longitude 8.545653372, Altitude 492.66
Time: 17.68, Latitude: 47.397742483, Longitude 8.545653292, Altitude 493.62
Time: 17.78, Latitude: 47.397740101, Longitude 8.545655829, Altitude 493.52
Time: 17.88, Latitude: 47.3977351, Longitude 8.545649279, Altitude 493.29
Time: 17.98, Latitude: 47.397729445, Longitude 8.545647229, Altitude 492.78
Time: 18.08, Latitude: 47.397729445, Longitude 8.545647229, Altitude 492.78
Time: 18.18, Latitude: 47.397723133, Longitude 8.545644995, Altitude 492.53
Time: 18.28, Latitude: 47.397720089, Longitude 8.545642384, Altitude 493.07
Time: 18.38, Latitude: 47.397719725, Longitude 8.545636807, Altitude 493.42
Time: 18.48, Latitude: 47.397715702, Longitude 8.545635874, Altitude 492.75
Time: 18.58, Latitude: 47.397715702, Longitude 8.545635874, Altitude 492.75
Time: 18.68, Latitude: 47.397708293, Longitude 8.545626542, Altitude 492.3
Time: 18.78, Latitude: 47.397703158, Longitude 8.54561603, Altitude 492.61
Time: 18.88, Latitude: 47.397704138, Longitude 8.545610503, Altitude 493.41
Time: 18.98, Latitude: 47.397701518, Longitude 8.545600424, Altitude 493.54
Time: 19.08, Latitude: 47.397701518, Longitude 8.545600424, Altitude 493.54
Time: 19.18, Latitude: 47.397701954, Longitude 8.545588625, Altitude 493.3
Time: 19.28, Latitude: 47.397704636, Longitude 8.54558188, Altitude 493.74
Time: 19.38, Latitude: 47.397705712, Longitude 8.545571574, Altitude 493.23
Time: 19.48, Latitude: 47.397705712, Longitude 8.545571574, Altitude 493.23
Time: 19.58, Latitude: 47.397707158, Longitude 8.545568033, Altitude 492.78
Time: 19.68, Latitude: 47.397709588, Longitude 8.545562818, Altitude 493.29
Time: 19.78, Latitude: 47.397712555, Longitude 8.545553669, Altitude 494.06
Time: 19.88, Latitude: 47.397714401, Longitude 8.545551497, Altitude 492.68
Time: 19.98, Latitude: 47.397714401, Longitude 8.545551497, Altitude 492.68
Time: 20.08, Latitude: 47.397716264, Longitude 8.545546973, Altitude 493.09
Time: 20.18, Latitude: 47.397724715, Longitude 8.545539843, Altitude 492.95
Time: 20.28, Latitude: 47.397729612, Longitude 8.545534713, Altitude 493.2
Time: 20.38, Latitude: 47.397729612, Longitude 8.545534713, Altitude 493.2
Time: 20.48, Latitude: 47.397732548, Longitude 8.545530818, Altitude 493.19
Time: 20.58, Latitude: 47.397733372, Longitude 8.545529856, Altitude 492.31
Time: 20.68, Latitude: 47.397745396, Longitude 8.545526375, Altitude 492.96
Time: 20.78, Latitude: 47.397750822, Longitude 8.545527477, Altitude 492.99
Time: 20.88, Latitude: 47.397750822, Longitude 8.545527477, Altitude 492.99
Time: 20.98, Latitude: 47.397752423, Longitude 8.545530916, Altitude 493.35
