Time: 8.89, Latitude: 47.397745177, Longitude 8.545596306, Altitude 492.51
Time: 8.99, Latitude: 47.397750069, Longitude 8.545595, Altitude 493.12
Time: 9.09, Latitude: 47.397750069, Longitude 8.545595, Altitude 493.12
Time: 9.19, Latitude: 47.397749136, Longitude 8.545596701, Altitude 491.69
Time: 9.29, Latitude: 47.397747883, Longitude 8.545594422, Altitude 493.08
Time: 9.39, Latitude: 47.397744009, Longitude 8.545589542, Altitude 492.61
Time: 9.49, Latitude: 47.397748837, Longitude 8.545594695, Altitude 492.46
Time: 9.59, Latitude: 47.397748837, Longitude 8.545594695, Altitude 492.46
Time: 9.69, Latitude: 47.397747053, Longitude 8.545596827, Altitude 493.22
Time: 9.79, Latitude: 47.397745998, Longitude 8.545595247, Altitude 491.98
Time: 9.89, Latitude: 47.397745756, Longitude 8.545594311, Altitude 492.36
Time: 10.0, Latitude: 47.397748546, Longitude 8.545595913, Altitude 492.57
Time: 10.09, Latitude: 47.397748546, Longitude 8.545595913, Altitude 492.57
Time: 10.19, Latitude: 47.397741659, Longitude 8.545593998, Altitude 492.0
Time: 10.29, Latitude: 47.397742789, Longitude 8.545595234, Altitude 492.19
Time: 10.39, Latitude: 47.397747979, Longitude 8.545594406, Altitude 493.29
Time: 10.49, Latitude: 47.397747979, Longitude 8.545594406, Altitude 493.29
Time: 10.59, Latitude: 47.397746665, Longitude 8.545596908, Altitude 492.82
Time: 10.69, Latitude: 47.397746806, Longitude 8.545595699, Altitude 492.95
Time: 10.79, Latitude: 47.397748081, Longitude 8.545596202, Altitude 492.98
Time: 10.89, Latitude: 47.397745908, Longitude 8.545595056, Altitude 491.86
Time: 10.99, Latitude: 47.397745908, Longitude 8.545595056, Altitude 491.86
Time: 11.09, Latitude: 47.397748135, Longitude 8.545593981, Altitude 492.59
Time: 11.2, Latitude: 47.397745782, Longitude 8.545599531, Altitude 492.2
Time: 11.29, Latitude: 47.397744568, Longitude 8.545598451, Altitude 493.13
Time: 11.39, Latitude: 47.397746912, Longitude 8.545595348, Altitude 492.06
Time: 11.49, Latitude: 47.397746912, Longitude 8.545595348, Altitude 492.06
Time: 11.59, Latitude: 47.397748077, Longitude 8.545596432, Altitude 493.31
Time: 11.69, Latitude: 47.397743897, Longitude 8.545597343, Altitude 492.47
Time: 11.79, Latitude: 47.397745986, Longitude 8.545598626, Altitude 492.65
Time: 11.89, Latitude: 47.397745986, Longitude 8.545598626, Altitude 492.65
Time: 11.99, Latitude: 47.397747782, Longitude 8.545592906, Altitude 492.53
Time: 12.09, Latitude: 47.397746597, Longitude 8.545595345, Altitude 491.86
Time: 12.19, Latitude: 47.397745093, Longitude 8.545596215, Altitude 492.15
Time: 12.29, Latitude: 47.397745887, Longitude 8.545593632, Altitude 493.27
Time: 12.39, Latitude: 47.397745887, Longitude 8.545593632, Altitude 493.27
Time: 12.49, Latitude: 47.397747214, Longitude 8.54559728, Altitude 493.72
Time: 12.59, Latitude: 47.397745891, Longitude 8.545597484, Altitude 492.12
Time: 12.69, Latitude: 47.397747604, Longitude 8.545591822, Altitude 492.97
Time: 12.79, Latitude: 47.397747604, Longitude 8.545591822, Altitude 492.97
Time: 12.89, Latitude: 47.397746934, Longitude 8.545599128, Altitude 493.0
Time: 12.99, Latitude: 47.397745035, Longitude 8.545595593, Altitude 491.3
